H_GPS,VH_GPS,Aileron,Elevator,Rudder,IAS,Roll,Pitch,Yaw,p,q,r,a_x,a_y,a_z,H_IMU,VE_IMU,VN_IMU,VU_IMU,H_baro,H_GPS_bias,VH_GPS_bias,Aileron_bias,Elevator_bias,Rudder_bias,IAS_bias,Roll_bias,Pitch_bias,Yaw_bias,p_bias,q_bias,r_bias,a_x_bias,a_y_bias,a_z_bias,H_IMU_bias,VE_IMU_bias,VN_IMU_bias,VU_IMU_bias,H_baro_bias
681.6,-4.428879261,1498,1900,1499,29.69104767,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,106.126,29.15,-16.25,4.43,934.1289673,681.6,-4.428879261,1498,1900,1499,29.69104767,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,106.126,29.15,-16.25,4.43,934.1289673
681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,106.126,29.15,-16.25,4.43,934.1289673,681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,106.126,29.15,-16.25,4.43,934.1289673
681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,106.126,29.15,-16.25,4.43,934.1289673,681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,106.126,29.15,-16.25,4.43,934.1289673
681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,106.126,29.15,-16.25,4.43,934.1289673,681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,106.126,29.15,-16.25,4.43,934.1289673
681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,106.126,29.15,-16.25,4.43,934.1289673,681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,106.126,29.15,-16.25,4.43,934.1289673
681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,106.126,29.15,-16.25,4.43,934.1289673,681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,106.126,29.15,-16.25,4.43,934.1289673
681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,103.96,32.67,-9.93,3.96,934.1289673,681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,103.96,32.67,-9.93,3.96,934.1289673
681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,103.96,32.67,-9.93,3.96,934.1289673,681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,103.96,32.67,-9.93,3.96,934.1289673
681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,103.96,32.67,-9.93,3.96,934.1289673,681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,103.96,32.67,-9.93,3.96,934.1289673
681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,103.96,32.67,-9.93,3.96,934.1289673,681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,103.96,32.67,-9.93,3.96,934.1289673
681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,103.96,32.67,-9.93,3.96,934.1289673,681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,103.96,32.67,-9.93,3.96,934.1289673
681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,103.96,32.67,-9.93,3.96,934.1289673,681.6,-4.269711971,1498,1900,1499,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,103.96,32.67,-9.93,3.96,934.1289673
681.6,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,103.96,32.67,-9.93,3.96,934.1289673,681.6,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,103.96,32.67,-9.93,3.96,934.1289673
681.6,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,103.96,32.67,-9.93,3.96,934.1289673,681.6,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.095,-0.071,-1.808,103.96,32.67,-9.93,3.96,934.1289673
681.6,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.1289673,681.6,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.1289673
681.6,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.1289673,681.6,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.1289673
681.6,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.1289673,681.6,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.1289673
681.6,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.3292847,681.6,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.3292847
681.6,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.3292847,681.6,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.3292847
679.03,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.3292847,679.03,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.3292847
679.03,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.3292847,679.03,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.3292847
679.03,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.3292847,679.03,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.3292847
679.03,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.3292847,679.03,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.3292847
679.03,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.3292847,679.03,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.3292847
679.03,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.3292847,679.03,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.3292847
679.03,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.3292847,679.03,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.3292847
679.03,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.3292847,679.03,-4.269711971,1482,1900,1492,29.97508621,0.966553748,-0.049603641,-0.416072339,-0.108587019,0.410382777,0.237121016,0.094,-0.067,-1.857,103.96,32.67,-9.93,3.96,934.3292847
